athlete_id,division_id,division_name,target_percentile,overall_rank,performance_percentile,window_start_rank,window_end_rank,http_status,fetch_source,benchmark_stat_count,parsed_at
1295120,1,Men,75,31764,75.0118,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2298006,1,Men,75,31765,75.0110,31764,31794,200,cache,6,2026-07-12T18:12:56.197977+00:00
286346,1,Men,75,31766,75.0102,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2245577,1,Men,75,31767,75.0094,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2790198,1,Men,75,31768,75.0087,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
1285677,1,Men,75,31769,75.0079,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2973648,1,Men,75,31771,75.0063,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2688273,1,Men,75,31772,75.0055,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2957385,1,Men,75,31773,75.0047,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2182415,1,Men,75,31774,75.0039,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
1738380,1,Men,75,31775,75.0031,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
1043956,1,Men,75,31776,75.0024,31764,31794,200,cache,6,2026-07-12T18:12:56.197977+00:00
2421427,1,Men,75,31777,75.0016,31764,31794,200,cache,11,2026-07-12T18:12:56.197977+00:00
2490463,1,Men,75,31778,75.0008,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2767633,1,Men,75,31779,75.0000,31764,31794,200,cache,8,2026-07-12T18:12:56.197977+00:00
148036,1,Men,75,31780,74.9992,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2835259,1,Men,75,31781,74.9984,31764,31794,200,cache,6,2026-07-12T18:12:56.197977+00:00
2868690,1,Men,75,31782,74.9976,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2756875,1,Men,75,31785,74.9953,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
2260868,1,Men,75,31786,74.9945,31764,31794,200,cache,6,2026-07-12T18:12:56.197977+00:00
2556755,1,Men,75,31788,74.9929,31764,31794,200,cache,7,2026-07-12T18:12:56.197977+00:00
2782635,1,Men,75,31789,74.9921,31764,31794,200,cache,2,2026-07-12T18:12:56.197977+00:00
2434142,1,Men,75,31790,74.9913,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
1023441,1,Men,75,31792,74.9898,31764,31794,200,cache,20,2026-07-12T18:12:56.197977+00:00
958301,1,Men,75,31793,74.9890,31764,31794,200,cache,0,2026-07-12T18:12:56.197977+00:00
680787,1,Men,75,31794,74.9882,31764,31794,200,cache,10,2026-07-12T18:12:56.197977+00:00
1649161,1,Men,80,25408,80.0121,25408,25438,200,cache,8,2026-07-12T18:12:56.197977+00:00
2687462,1,Men,80,25409,80.0113,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2297013,1,Men,80,25410,80.0105,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
897209,1,Men,80,25412,80.0090,25408,25438,200,cache,9,2026-07-12T18:12:56.197977+00:00
2186056,1,Men,80,25413,80.0082,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2981943,1,Men,80,25414,80.0074,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2925768,1,Men,80,25415,80.0066,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
575548,1,Men,80,25417,80.0050,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2617821,1,Men,80,25418,80.0042,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2483851,1,Men,80,25419,80.0035,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
305707,1,Men,80,25421,80.0019,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2095175,1,Men,80,25422,80.0011,25408,25438,200,cache,37,2026-07-12T18:12:56.197977+00:00
2738185,1,Men,80,25423,80.0003,25408,25438,200,cache,19,2026-07-12T18:12:56.197977+00:00
1977557,1,Men,80,25424,79.9995,25408,25438,200,cache,61,2026-07-12T18:12:56.197977+00:00
2097879,1,Men,80,25425,79.9987,25408,25438,200,cache,17,2026-07-12T18:12:56.197977+00:00
2216298,1,Men,80,25426,79.9980,25408,25438,200,cache,5,2026-07-12T18:12:56.197977+00:00
2496629,1,Men,80,25428,79.9964,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
1225545,1,Men,80,25430,79.9948,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2806739,1,Men,80,25431,79.9940,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
2662841,1,Men,80,25432,79.9932,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
948881,1,Men,80,25435,79.9909,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
1976363,1,Men,80,25436,79.9901,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
1988749,1,Men,80,25437,79.9893,25408,25438,200,cache,18,2026-07-12T18:12:56.197977+00:00
1193595,1,Men,80,25438,79.9885,25408,25438,200,cache,0,2026-07-12T18:12:56.197977+00:00
1838141,1,Men,85,19051,85.0132,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1970736,1,Men,85,19052,85.0124,19051,19081,200,cache,4,2026-07-12T18:12:56.197977+00:00
2267118,1,Men,85,19053,85.0116,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
887905,1,Men,85,19054,85.0109,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1218631,1,Men,85,19055,85.0101,19051,19081,200,cache,5,2026-07-12T18:12:56.197977+00:00
1700319,1,Men,85,19056,85.0093,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2234400,1,Men,85,19057,85.0085,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2921370,1,Men,85,19058,85.0077,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2918859,1,Men,85,19059,85.0069,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2392642,1,Men,85,19060,85.0061,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2955583,1,Men,85,19061,85.0053,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1790082,1,Men,85,19062,85.0046,19051,19081,200,cache,1,2026-07-12T18:12:56.197977+00:00
2985422,1,Men,85,19064,85.0030,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2187625,1,Men,85,19065,85.0022,19051,19081,200,cache,6,2026-07-12T18:12:56.197977+00:00
2624967,1,Men,85,19066,85.0014,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2195988,1,Men,85,19068,84.9998,19051,19081,200,cache,5,2026-07-12T18:12:56.197977+00:00
1269977,1,Men,85,19069,84.9991,19051,19081,200,cache,5,2026-07-12T18:12:56.197977+00:00
2240512,1,Men,85,19070,84.9983,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
2638182,1,Men,85,19072,84.9967,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
714716,1,Men,85,19073,84.9959,19051,19081,200,cache,1,2026-07-12T18:12:56.197977+00:00
2783531,1,Men,85,19074,84.9951,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1329702,1,Men,85,19075,84.9943,19051,19081,200,cache,2,2026-07-12T18:12:56.197977+00:00
2608743,1,Men,85,19076,84.9935,19051,19081,200,cache,13,2026-07-12T18:12:56.197977+00:00
232669,1,Men,85,19077,84.9928,19051,19081,200,cache,12,2026-07-12T18:12:56.197977+00:00
2380604,1,Men,85,19078,84.9920,19051,19081,200,cache,6,2026-07-12T18:12:56.197977+00:00
2155262,1,Men,85,19079,84.9912,19051,19081,200,cache,10,2026-07-12T18:12:56.197977+00:00
2822159,1,Men,85,19080,84.9904,19051,19081,200,cache,0,2026-07-12T18:12:56.197977+00:00
1816280,1,Men,90,12697,90.0120,12697,12727,200,cache,21,2026-07-12T18:12:56.197977+00:00
